,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
level.v,41.699999999999996,42.4,41.0,33.0,31.5,34.599999999999994,37.09582186715911
presume.v,17.5,9.8,81.8,17.7,10.6,54.0,17.599715906798043
wait.v,98.2,99.4,97.1,0.1,0.2,0.1,3.1336879231984796
stick.v,40.2,56.599999999999994,31.2,15.9,17.299999999999997,14.799999999999999,25.282009413810446
separate.v,24.6,14.6,77.60000000000001,8.799999999999999,5.3,24.2,14.713259326199616
reap.v,23.0,13.200000000000001,88.9,13.8,7.7,63.5,17.81572339255412
signal.v,29.299999999999997,20.8,50.0,16.3,11.3,29.299999999999997,21.853832615813637
swim.v,29.299999999999997,17.299999999999997,93.8,10.299999999999999,5.6000000000000005,67.9,17.372104075212075
slow.v,25.0,14.6,87.0,5.6000000000000005,3.2,23.9,11.832159566199232
question.v,45.0,36.7,58.099999999999994,12.4,9.0,19.8,23.62202362203543
happen.v,69.3,58.099999999999994,85.8,3.2,2.1999999999999997,6.1,14.891608375189028
insist.v,65.3,93.89999999999999,50.0,1.4000000000000001,4.0,0.8,9.561380653441217
observe.v,45.6,79.3,32.0,9.2,18.0,6.2,20.482187383187373
lie.v,37.7,24.8,79.0,8.7,5.5,20.5,18.110494195355354
deploy.v,20.200000000000003,12.2,60.0,41.3,29.7,67.80000000000001,28.883559337450087
accommodate.v,37.5,27.3,60.0,57.49999999999999,45.800000000000004,77.2,46.43543905251677
sniff.v,23.3,15.6,45.5,58.3,45.4,81.39999999999999,36.85634273771612
straighten.v,38.9,37.3,40.6,34.2,29.599999999999998,40.400000000000006,36.47437456626227
pursue.v,39.0,25.8,79.80000000000001,6.800000000000001,4.1000000000000005,20.599999999999998,16.284962388657828
defend.v,31.6,21.0,63.5,7.3,4.9,14.799999999999999,15.188153278130953
divide.v,27.1,20.3,40.5,21.099999999999998,17.1,27.400000000000002,23.91254900674539
mean,38.068,41.43900000000001,50.49100000000001,19.311,19.069999999999997,27.720000000000006,23.724909701279817
