,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,33.300000000000004,21.0,81.0,34.0,22.0,75.3,33.648179742743885
root,65.2,69.8,61.1,46.6,58.199999999999996,38.800000000000004,55.12095790169108
haunt,29.5,18.6,72.2,33.800000000000004,23.200000000000003,62.3,31.576890283876914
frame,45.5,42.6,48.8,46.7,43.9,49.9,46.0960952793184
regain,59.099999999999994,43.5,92.2,31.0,21.0,59.4,42.803037275408386
cultivate,49.7,52.2,47.4,20.599999999999998,25.8,17.1,31.997187376392944
presume,32.800000000000004,20.7,79.2,16.0,10.0,39.7,22.908513701242168
reap,23.9,14.000000000000002,81.0,9.5,5.4,40.9,15.068178390236824
accommodate,32.300000000000004,22.7,55.60000000000001,53.300000000000004,43.6,68.5,41.492047430802934
sniff,42.6,40.6,44.800000000000004,43.3,42.3,44.2,42.94857389949054
mean,41.39,34.57,66.33,33.480000000000004,29.54,49.61,36.365966128120405
