,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
wait.v,98.2,99.4,97.1,0.1,0.2,0.1,3.1336879231984796
stick.v,41.099999999999994,58.9,31.5,18.4,20.200000000000003,16.900000000000002,27.499818181217123
separate.v,37.4,23.9,85.9,13.8,8.6,34.8,22.718274582370906
reap.v,28.199999999999996,16.5,95.19999999999999,22.2,12.5,100.0,25.020791354391648
signal.v,61.9,84.39999999999999,48.9,12.3,20.8,8.799999999999999,27.592933878078277
swim.v,37.8,23.599999999999998,95.39999999999999,8.0,4.3999999999999995,42.0,17.389652095427326
slow.v,27.6,16.400000000000002,87.2,6.0,3.4000000000000004,25.1,12.86856635371633
question.v,55.2,57.99999999999999,52.7,10.7,9.3,12.5,24.303086223770016
happen.v,90.8,99.6,83.39999999999999,0.1,1.3,0.1,3.0133038346638727
insist.v,53.400000000000006,57.8,49.7,5.6000000000000005,4.7,6.800000000000001,17.292773056973832
observe.v,37.7,50.5,30.0,13.5,14.2,12.8,22.559920212624867
lie.v,85.5,98.9,75.3,0.3,2.4,0.2,5.06458290484024
deploy.v,17.4,10.8,44.4,34.5,25.0,55.900000000000006,24.5010203869145
accommodate.v,17.1,13.600000000000001,23.1,38.3,31.0,50.0,25.591600184435517
sniff.v,17.8,12.5,30.8,40.400000000000006,33.900000000000006,50.1,26.816412884649584
straighten.v,49.2,90.9,33.7,11.3,31.5,6.800000000000001,23.578804040917767
pursue.v,35.5,22.900000000000002,78.5,5.5,3.2,17.299999999999997,13.97318861248212
defend.v,38.800000000000004,27.3,67.2,12.0,8.1,22.8,21.577766334817884
divide.v,29.799999999999997,22.1,46.0,24.6,20.0,31.8,27.075450134762303
mean,38.187999999999995,39.925000000000004,50.081,19.634,18.676,28.423000000000012,23.857848303722403
