,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,33.300000000000004,21.0,81.0,34.0,22.0,75.3,33.648179742743885
root,48.9,54.0,44.7,31.3,40.1,25.7,39.12249992012269
haunt,31.6,21.4,60.0,27.900000000000002,19.900000000000002,46.800000000000004,29.692423275980694
frame,40.0,34.0,48.5,51.800000000000004,46.1,59.199999999999996,45.51922670696417
regain,28.4,17.599999999999998,73.1,12.3,7.9,27.400000000000002,18.690104333577167
cultivate,25.5,18.8,39.4,26.900000000000002,21.5,35.9,26.190647185588983
presume,44.3,31.5,74.4,16.2,11.0,30.5,26.78917691904699
reap,24.099999999999998,14.000000000000002,85.0,9.5,5.4,40.9,15.131093813733361
accommodate,41.5,50.0,35.5,20.5,25.5,17.2,29.16761903207048
sniff,29.599999999999998,25.0,36.4,44.2,38.6,51.7,36.17070637961056
mean,34.720000000000006,28.73,57.79999999999999,27.46,23.799999999999997,41.059999999999995,30.0121677309439
