,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
commit.v,42.199999999999996,34.0,55.60000000000001,13.0,11.1,15.8,23.422211680368697
pour.v,34.699999999999996,36.199999999999996,33.300000000000004,8.5,8.9,8.200000000000001,17.17410841936198
deny.v,38.1,26.6,66.8,5.1,3.5999999999999996,9.0,13.939512186586732
lay.v,43.5,54.800000000000004,36.0,10.100000000000001,14.2,7.9,20.960677469967425
shave.v,27.400000000000002,16.6,79.10000000000001,29.7,18.8,69.69999999999999,28.5268294768276
weigh.v,26.0,19.5,39.1,40.400000000000006,35.0,47.699999999999996,32.40987503832744
apply.v,32.2,34.8,30.0,6.2,6.800000000000001,5.7,14.12940196894405
level.v,37.7,39.0,36.5,22.0,23.5,20.7,28.799305547182907
presume.v,15.1,8.7,57.099999999999994,16.6,9.8,54.0,15.832245576670418
wait.v,66.4,50.4,97.2,0.2,0.1,0.8999999999999999,3.6441734316577197
stick.v,43.4,58.3,34.599999999999994,9.8,13.900000000000002,7.6,20.62328780771873
separate.v,66.4,54.900000000000006,83.8,8.0,6.5,10.2,23.047776465420693
reap.v,17.599999999999998,9.9,80.0,19.400000000000002,10.7,100.0,18.478095139921756
signal.v,21.3,13.100000000000001,55.900000000000006,16.8,11.200000000000001,33.5,18.916659324521337
swim.v,19.6,11.1,86.7,4.8,2.6,33.5,9.699484522385713
slow.v,67.7,56.8,84.0,5.8999999999999995,4.2,9.8,19.985744919817225
question.v,32.2,23.200000000000003,52.6,5.1,3.6999999999999997,8.200000000000001,12.814835153056007
happen.v,65.2,54.0,82.3,1.0,0.8,1.5,8.07465169527454
insist.v,30.8,21.5,54.400000000000006,5.800000000000001,4.1000000000000005,9.6,13.365627557282899
observe.v,38.6,46.9,32.800000000000004,8.200000000000001,10.100000000000001,6.9,17.79100896520487
lie.v,59.9,49.9,75.0,2.1999999999999997,1.7999999999999998,2.8000000000000003,11.47954702939101
deploy.v,36.9,25.7,65.5,45.0,34.9,63.3,40.749233121618374
accommodate.v,30.3,22.7,45.5,60.199999999999996,46.800000000000004,84.3,42.709015441707386
sniff.v,40.0,28.1,69.19999999999999,59.4,49.7,73.6,48.744230427815765
straighten.v,15.0,9.6,34.5,23.7,18.2,34.0,18.854707634964804
pursue.v,63.2,51.300000000000004,82.5,1.0999999999999999,0.8,1.7000000000000002,8.337865434270332
defend.v,52.5,49.1,56.49999999999999,0.0,0.0,0.0,0.0
divide.v,49.3,81.2,35.4,12.9,31.1,8.1,25.218445630133512
mean,35.394,33.018,48.669,14.935,13.124,21.334999999999994,18.768595759353754
