,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,25.5,16.0,61.9,19.400000000000002,12.5,42.9,22.241852440837746
root,48.9,54.0,44.7,31.3,40.1,25.7,39.12249992012269
haunt,28.599999999999998,18.6,61.9,24.2,17.0,41.9,26.308173634823074
frame,45.300000000000004,36.199999999999996,60.699999999999996,53.0,46.400000000000006,61.9,48.99897958121169
regain,22.7,13.900000000000002,62.5,14.7,9.3,35.0,18.267183690979845
cultivate,31.7,23.200000000000003,50.0,36.199999999999996,29.7,46.400000000000006,33.87535977668724
presume,77.5,72.8,82.69999999999999,8.6,7.7,9.8,25.816661286851172
reap,24.099999999999998,14.000000000000002,85.0,9.5,5.4,40.9,15.131093813733361
accommodate,50.0,63.6,41.199999999999996,27.200000000000003,35.199999999999996,22.1,36.878177829171555
sniff,32.300000000000004,46.9,24.6,8.0,12.2,6.0,16.074825037928097
mean,38.660000000000004,35.92,57.52,23.21,21.549999999999997,33.260000000000005,28.271480701234644
