,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
commit.v,55.50000000000001,52.800000000000004,58.5,4.1000000000000005,4.3,3.9,15.084760521798152
pour.v,42.3,63.0,31.900000000000002,3.8,5.8999999999999995,2.8000000000000003,12.678327965469263
deny.v,21.9,13.100000000000001,66.3,7.9,5.0,18.8,13.153326575433303
lay.v,39.0,49.5,32.300000000000004,1.7000000000000002,2.4,1.3,8.142481194328914
shave.v,66.5,64.4,68.8,6.7,6.5,7.000000000000001,21.108055334397815
weigh.v,32.7,24.2,50.5,48.4,41.9,57.3,39.78291090405528
apply.v,37.6,51.9,29.5,5.3,7.6,4.0,14.116656828017035
level.v,25.0,16.900000000000002,47.599999999999994,49.6,39.6,66.4,35.21363372331802
presume.v,48.1,33.7,83.8,23.0,15.5,44.2,33.2610883766602
wait.v,66.10000000000001,50.1,97.2,0.1,0.1,0.7000000000000001,2.5709920264364885
stick.v,37.0,50.2,29.299999999999997,0.3,0.5,0.2,3.331666249791536
separate.v,61.1,48.9,81.2,12.0,9.6,16.0,27.077666073722085
reap.v,75.3,66.9,86.2,3.4000000000000004,2.5,5.3,16.000624987793447
signal.v,54.50000000000001,63.0,48.0,1.2,1.4000000000000001,1.0999999999999999,8.087026647662292
swim.v,63.3,48.0,92.9,6.0,3.6999999999999997,16.5,19.488458122694055
slow.v,67.60000000000001,55.00000000000001,87.6,0.8999999999999999,0.7000000000000001,1.6,7.8
question.v,38.9,32.300000000000004,48.9,0.8,0.7000000000000001,1.0,5.578530272392541
happen.v,62.7,50.4,82.69999999999999,6.1,4.5,9.6,19.55684023557998
insist.v,50.8,51.5,50.0,0.6,0.7000000000000001,0.6,5.520869496736904
observe.v,38.1,48.5,31.3,0.8999999999999999,1.3,0.7000000000000001,5.85576638878294
lie.v,47.8,34.5,77.9,5.0,3.5000000000000004,8.4,15.459624833740307
deploy.v,56.599999999999994,58.099999999999994,55.1,30.2,30.0,30.3,41.343923374541994
accommodate.v,50.0,63.6,41.199999999999996,27.200000000000003,35.199999999999996,22.1,36.878177829171555
sniff.v,36.8,50.0,29.099999999999998,9.5,13.600000000000001,7.3,18.697593428032388
straighten.v,43.4,66.0,32.300000000000004,5.8999999999999995,10.0,4.2,16.00187489014959
pursue.v,61.7,49.8,81.0,1.0,0.7000000000000001,1.5,7.854934754662192
defend.v,53.1,49.9,56.8,1.7000000000000002,1.6,1.7999999999999998,9.50105257326787
divide.v,46.7,71.39999999999999,34.699999999999996,16.0,30.5,10.8,27.33495930123182
mean,38.675,37.795,49.754000000000005,15.206000000000001,14.128999999999998,19.726,20.280522490113594
