,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
commit.v,56.2,54.0,58.5,25.5,26.900000000000002,24.099999999999998,37.85630726840641
pour.v,54.900000000000006,73.3,43.9,34.0,47.099999999999994,26.6,43.204166465747264
deny.v,57.599999999999994,50.1,67.60000000000001,4.3,3.8,4.9,15.7378524583248
lay.v,34.8,27.400000000000002,47.4,32.800000000000004,27.900000000000002,39.7,33.78520386204588
shave.v,57.4,54.1,61.0,10.2,8.799999999999999,12.2,24.19669398905561
weigh.v,52.1,54.1,50.2,53.1,56.8,49.8,52.59762352045956
apply.v,38.6,55.7,29.5,4.8,7.199999999999999,3.5999999999999996,13.611759621738845
level.v,47.099999999999994,54.2,41.6,25.6,29.2,22.8,34.72405506273713
presume.v,63.1,51.1,82.5,21.7,16.8,30.5,37.00364846876589
wait.v,65.9,49.9,97.1,0.7000000000000001,0.4,3.5999999999999996,6.7919069487147725
stick.v,41.699999999999996,58.199999999999996,32.5,5.8999999999999995,8.5,4.5,15.68534347727202
separate.v,62.6,51.300000000000004,80.10000000000001,10.5,8.6,13.700000000000001,25.6378626254218
reap.v,61.0,47.099999999999994,86.4,7.199999999999999,4.8,14.499999999999998,20.957099035887577
signal.v,19.3,11.799999999999999,53.1,16.1,10.7,32.5,17.627535278648573
swim.v,18.7,10.5,84.1,5.2,2.8000000000000003,37.3,9.86103442849684
slow.v,71.3,59.8,88.4,1.7999999999999998,1.3,3.1,11.328724553099523
question.v,53.1,55.300000000000004,51.1,3.5000000000000004,3.5999999999999996,3.4000000000000004,13.632681321002117
happen.v,62.8,50.2,83.89999999999999,5.0,3.5999999999999996,7.8,17.72004514666935
insist.v,55.900000000000006,59.599999999999994,52.7,8.0,8.5,7.6,21.147103820618085
observe.v,41.699999999999996,53.0,34.300000000000004,8.1,11.200000000000001,6.3,18.378520070995922
lie.v,61.4,51.7,75.7,0.8,0.7000000000000001,1.0,7.008566187174093
deploy.v,16.7,10.8,36.4,34.5,25.2,54.900000000000006,24.003124796575964
accommodate.v,62.3,86.4,48.699999999999996,47.599999999999994,66.7,37.1,54.456220948574824
sniff.v,34.0,25.0,53.300000000000004,56.10000000000001,47.4,68.7,43.67379076746144
straighten.v,52.400000000000006,65.10000000000001,43.9,22.5,30.3,17.9,34.336569426778794
pursue.v,65.0,53.7,82.19999999999999,0.2,0.2,0.4,3.605551275463989
defend.v,53.400000000000006,50.7,56.49999999999999,0.0,0.0,0.0,0.0
divide.v,25.6,17.599999999999998,46.7,34.300000000000004,27.1,46.5,29.632414683923418
mean,42.293,42.41700000000001,51.83699999999999,18.587,18.497,22.744000000000007,24.313052620176286
