,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,31.8,21.0,65.4,17.8,11.799999999999999,35.9,23.791595154591885
root,48.9,54.0,44.7,31.3,40.1,25.7,39.12249992012269
haunt,40.400000000000006,30.0,61.8,29.299999999999997,21.4,46.7,34.40523216023981
frame,50.0,42.6,60.6,56.599999999999994,50.3,64.8,53.19774431308154
regain,85.2,85.2,85.2,31.2,31.2,31.2,51.558122541458005
cultivate,46.0,46.400000000000006,45.7,20.4,24.6,17.5,30.633315197673266
presume,39.7,26.1,82.8,15.9,10.2,35.5,25.1242910347735
reap,20.3,11.600000000000001,82.39999999999999,9.2,5.2,40.9,13.666016244685208
accommodate,34.0,40.9,28.999999999999996,1.7000000000000002,2.1,1.4000000000000001,7.602631123499285
sniff,49.0,37.5,70.6,60.9,52.0,73.6,54.62691644235468
mean,44.53,39.529999999999994,62.82000000000001,27.429999999999996,24.889999999999997,37.31999999999999,33.37283641324799
