,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,26.8,16.0,81.2,32.6,20.8,75.3,29.55807842198136
root,44.4,50.8,39.5,25.7,33.800000000000004,20.7,33.77987566584578
haunt,56.10000000000001,65.7,48.9,15.6,18.6,13.4,29.583103285490523
frame,37.0,31.900000000000002,44.1,41.199999999999996,37.7,45.4,39.04356541096112
regain,42.0,27.800000000000004,85.7,19.0,12.3,42.3,28.24889378365107
cultivate,15.9,10.100000000000001,36.8,28.799999999999997,22.1,41.6,21.39906540015241
presume,70.0,60.9,82.39999999999999,13.5,10.2,19.900000000000002,30.740852297878796
reap,24.099999999999998,14.000000000000002,85.0,9.5,5.4,40.9,15.131093813733361
accommodate,39.0,36.4,42.1,36.8,35.699999999999996,38.0,37.88403357616504
sniff,37.3,34.4,40.699999999999996,42.0,40.6,43.5,39.58029812924607
mean,39.260000000000005,34.8,58.64,26.47,23.72,38.1,30.494885978510553
