,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
cheat,24.5,14.799999999999999,70.6,28.1,18.0,64.1,26.238330739587838
root,34.599999999999994,34.9,34.4,27.1,28.7,25.7,30.621234462379206
haunt,31.1,20.0,70.0,28.799999999999997,19.900000000000002,52.2,29.92791339201582
frame,44.0,42.6,45.5,38.800000000000004,38.2,39.5,41.318276827573534
regain,25.8,15.7,70.8,19.2,12.1,45.6,22.25668438918969
cultivate,36.8,33.300000000000004,41.099999999999994,14.000000000000002,13.900000000000002,14.000000000000002,22.698017534577772
presume,23.400000000000002,14.099999999999998,68.4,13.0,7.9,35.5,17.441330224498362
reap,21.6,12.4,83.3,9.3,5.2,40.9,14.173214173221261
accommodate,32.4,27.3,40.0,39.300000000000004,34.9,45.1,35.68360968287822
sniff,49.0,37.5,70.6,60.9,52.0,73.6,54.62691644235468
mean,32.32,25.26,59.46999999999999,27.85,23.080000000000002,43.620000000000005,29.498552786827638
